,Aayu Malun Khola Hydro-Electric Project,Apsuwa I HEP,Chujung Khola HEP,Dudhkoshi 10 HEP,Dudhkoshi-6 HEP,Ghunsa Khola HPP,Ghunsa-Tamor HPP,Hongu Khola HPP,Ikhuwa Khola HEP,Isuwa Khola Hydropower Project,Kabeli B - 1,Kabeli-3 HEP,Kabeli-A,Kasuwa Khola HPP,Lower Hewa,Lower Isuwa Khola HPP,Lower Solu Hydropower Project,Luja Khola HPP,Mewa khola HPP,Mewa Khola Hydropower project,Middle Hongu Khola B HPP,Middle Hongukhola A Hydropower Project,Middle Mewa HPP,Middle Tamor,Palun khola small Hydropower Project,Simbuwa Khola Hydroelectric Project,Solu Hydropower Project,Solu Khola (Dudha Koshi),Super Inkhu Khola,Tamor Khola-5 HEP,Upper Apsuwa HEP,Upper Barunkhola HEP,Upper Inkhu Khola HEP,Upper Isuwa,Upper Kabeli HPP,Upper Mewa Khola -A HPP,Upper Sankhuwa Khola HEP,Upper Simbuwa Khola HPP,Upper Tamor A HPP,Upper Tamor HEP,solar_bhadrapur,solar_kataiya,solar_morang,solar_jhapa,solar_anarmani,solar_koshitappu2,solar_koshitappu1,solar_urlabari,solar_udaypur2,solar_udaypur1,solar_basantapur,solar_tingla
2019-06-16 07:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2967145790554414,0.4063136456211813,0.4278403275332651,0.2433264887063655,0.3305870236869207,0.3877551020408163,0.3963227783452502,0.4458077709611452,0.4111111111111111,0.3445878848063555,0.4555125725338491,0.1726829268292682
2019-06-16 08:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.635523613963039,0.609979633401222,0.6294779938587513,0.6314168377823408,0.5829042224510813,0.6122448979591837,0.5730337078651685,0.6175869120654397,0.5323232323232323,0.4746772591857001,0.448742746615087,0.4136585365853658
2019-06-16 09:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7936344969199178,0.7729124236252546,0.7840327533265097,0.7905544147843943,0.7971163748712667,0.7744897959183673,0.7711950970377937,0.7893660531697342,0.7696969696969697,0.7000993048659384,0.5609284332688588,0.5590243902439025
2019-06-16 10:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8963039014373717,0.8778004073319755,0.8884339815762539,0.893223819301848,0.8990731204943357,0.8785714285714286,0.8764044943820225,0.8926380368098159,0.8767676767676768,0.7477656405163853,0.7891682785299806,0.6614634146341464
2019-06-16 11:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9373716632443532,0.9226069246435844,0.9314227226202662,0.9342915811088296,0.9392378990731204,0.923469387755102,0.9213483146067416,0.934560327198364,0.8212121212121212,0.6663356504468719,0.8916827852998066,0.6634146341463415
2019-06-16 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9137577002053388,0.9032586558044806,0.9109518935516888,0.9117043121149896,0.9155509783728116,0.9051020408163264,0.9029622063329928,0.9130879345603272,0.8777777777777778,0.8768619662363456,0.7504835589941973,0.5170731707317073
2019-06-16 13:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8285420944558521,0.8217922606924644,0.8280450358239508,0.8275154004106776,0.8290422245108136,0.823469387755102,0.8212461695607763,0.8292433537832311,0.7606060606060606,0.7815292949354519,0.7408123791102514,0.5395121951219513
2019-06-16 14:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.688911704312115,0.6863543788187373,0.6898669396110543,0.6878850102669405,0.6889804325437693,0.6877551020408164,0.676200204290092,0.6175869120654397,0.4676767676767677,0.1439920556107249,0.3926499032882011,0.631219512195122
2019-06-16 15:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4979466119096509,0.4989816700610998,0.4237461617195496,0.4989733059548255,0.4994850669412976,0.5010204081632653,0.1971399387129724,0.2965235173824131,0.4656565656565656,0.4031777557100298,0.2727272727272727,0.1482926829268292
2019-06-16 16:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2772073921971252,0.2993890020366598,0.1473899692937564,0.2967145790554414,0.2935118434603501,0.2979591836734694,0.2972420837589377,0.2188139059304703,0.2828282828282828,0.1360476663356504,0.0773694390715667,0.1112195121951219
